nombre,grupo,tipo,min,max,media,missing
edad_norm,Demográfica,float64,-1.2818901970663534,3.4566210042292855,1.2400396784643983e-17,0
sexo_bin,Demográfica,int64,0.0,1.0,0.5270506108202443,0
lat_norm,Espacial,float64,-1.3409321395477345,1.3359511775707047,-9.920317427715186e-17,0
lon_norm,Espacial,float64,-1.7442031851450683,1.1646152310581734,-2.3213542780853534e-14,0
elevacion_norm,Espacial,float64,-1.340932139547736,1.335951177570706,0.0,0
dist_cluster,Espacial,float64,0.0,0.21787129669108724,0.008562203684352107,0
mes,Temporal,float64,1.0,12.0,5.4205933682373475,0
semana,Temporal,float64,1.0,53.0,22.18848167539267,0
mes_sin,Temporal,float64,-1.0,1.0,0.2896316698760818,0
mes_cos,Temporal,float64,-1.0,1.0,0.1117219205905679,0
año,Temporal,float64,2015.0,2022.0,2017.9092495636999,0
humedad_7d,Climática,float64,60.44642857142857,92.27678571428571,82.46298070929943,0
humedad_14d,Climática,float64,61.473214285714285,90.80357142857143,82.34459238829331,0
humedad_30d,Climática,float64,66.94791666666667,90.09583333333333,82.33715804562074,0
humedad_60d,Climática,float64,65.634375,89.809375,82.34871830815706,0
humedad_min_30d,Climática,float64,50.8125,85.5,72.86387434554973,0
humedad_max_30d,Climática,float64,77.8125,95.75,90.48887434554973,0
humedad_std_30d,Climática,float64,1.9923536033413163,9.748743886445359,4.545840275862862,0
dias_criticos_30d,Climática,float64,0.0,30.0,26.50610820244328,0
anomalia_humedad,Climática,float64,-10.492021889400931,7.47413594470045,-0.8481820247338626,0
densidad_aedes,Entomológica,float64,0.0,19.856665605250843,2.109179634716519,0
distancia_aedes,Entomológica,float64,0.002296198059539481,26.507870822167312,1.89039936319167,0
densidad_aedes_log,Entomológica,float64,0.0,3.0376735904511993,1.0583412965535977,0
presencia_aedes_2km,Entomológica,float64,0.0,1.0,0.8760907504363001,0
riesgo_entomologico,Entomológica,float64,0.0,0.9995199394901795,0.4352384630261224,0
humedad_x_elevacion,Interacción,float64,-114.03231042541466,112.2231164178173,-1.5705098112437865,0
favorabilidad,Interacción,int64,0.0,1.0,0.3542757417102967,0
densidad_casos_local,Contexto,int64,0.0,32.0,5.924956369982548,0
