Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
16/12/2021,"23,17","28,2","20,2","79,75","0,6","24,28"
17/12/2021,"23,78","28,5","20,3","78,75","0,6","25,08"
18/12/2021,"22,93","27,4","20,3","81,83","0,4","24,11"
19/12/2021,"22,83","27,9","19,9","83,42","0,4","24,11"
20/12/2021,"22,87","28,4",19,"84,58","0,6","24,27"
21/12/2021,"23,21","28,1","20,1","81,83","0,4","24,47"
22/12/2021,"23,31","28,3","20,2","80,5","0,4","24,5"
23/12/2021,"23,99","28,4","20,1","77,92","0,2","25,25"
24/12/2021,"24,35","30,8","19,2","75,75","0,2","25,73"
25/12/2021,"24,13","30,1","19,8","75,83","0,2","25,39"
26/12/2021,"23,18","27,7","20,6","82,17",0,"24,42"
27/12/2021,"23,59","30,1","19,8",78,0,"24,81"
28/12/2021,"23,04",28,"18,8",79,0,"24,12"
29/12/2021,"22,23","26,4","19,6","84,92","0,6","23,38"
30/12/2021,"23,16","29,6","19,4","83,5","9,2","24,56"
31/12/2021,"23,41","28,8","18,9","81,42","0,4","24,68"
1/1/2022,"23,03","27,3","20,5","84,25",0,"24,35"
2/1/2022,"23,63","29,3","19,1","78,83",0,"24,92"
3/1/2022,"22,49","28,4","20,1","86,17","0,6","23,73"
4/1/2022,"21,58","27,6","18,3","85,67",8,"22,68"
5/1/2022,"22,54","27,9","19,6",85,"0,2","23,78"
6/1/2022,"21,45","25,5","18,8","88,75","10,2","22,59"
7/1/2022,"22,43","27,2","19,3","82,5",0,"23,51"
8/1/2022,"22,7","28,8","18,3","78,08","3,8","23,66"
9/1/2022,"23,53","29,6","18,5","75,33",0,"24,57"
10/1/2022,"21,8","27,2","18,4","85,33","11,8","22,89"
11/1/2022,"21,33","26,4","17,8","84,08","23,4","22,26"
12/1/2022,"22,95","28,7","17,8","77,08",2,"23,89"
13/1/2022,"22,93","28,2",19,76,"0,6","23,78"
14/1/2022,"22,91","27,2","19,1","76,17","0,4","23,77"
15/1/2022,"22,58","28,5","17,7","76,17","0,2","23,4"
16/1/2022,"23,49","30,1",19,"74,08",0,"24,45"
17/1/2022,"23,31","29,1","19,4","75,33",0,"24,27"
18/1/2022,"23,95","30,2","19,9","74,83",0,"25,03"
19/1/2022,"25,03","30,8","20,6","73,17",0,"26,38"
20/1/2022,25,"31,7","21,2","73,67",0,"26,35"
21/1/2022,"24,98","31,4","21,2","73,92",0,"26,28"
22/1/2022,"23,78","30,4","19,4","76,83",0,"24,98"
23/1/2022,"24,53",30,"20,1","75,5",0,"25,78"
24/1/2022,"24,82","31,2","20,2","73,08","0,2","26,08"
25/1/2022,"22,08","27,7","17,8","81,42","13,6","22,96"
26/1/2022,"22,88","29,5","18,2","77,67",0,"23,86"
27/1/2022,"23,63","28,2","19,4","76,17",0,"24,73"
28/1/2022,"23,62","30,4","18,9","77,67",2,"24,78"
29/1/2022,"23,78","30,1","18,5","75,33",0,"24,83"
30/1/2022,"22,3","26,9","19,1","84,33","4,6","23,4"
31/1/2022,"22,3","26,9","19,1","84,33","4,6","23,4"
1/2/2022,"23,53","30,2","19,9","78,75","0,4","24,73"
2/2/2022,"23,68","29,2","19,7","73,92",0,"24,64"
3/2/2022,"23,96","30,3","19,5","72,83",0,"24,95"
4/2/2022,"22,53","28,7","19,7","80,83","9,4","23,58"
5/2/2022,"22,61","28,6","18,8","81,25","4,6","23,69"
6/2/2022,"21,82","27,5","18,7","86,67","49,6","23,01"
7/2/2022,"21,83","28,7","18,4",86,49,"23,02"
8/2/2022,"20,43","23,6","18,3","93,25","18,4","21,64"
9/2/2022,"21,53","27,9","16,9","83,92",0,"22,47"
10/2/2022,"22,29","27,1","18,1","82,08",0,"23,33"
11/2/2022,"22,91","30,7","18,3","80,5",2,"24,12"
12/2/2022,"23,41","29,1","19,6","79,33",0,"24,69"
13/2/2022,"22,97","28,4","19,6","82,08","1,6","24,18"
14/2/2022,"22,57","28,3","19,1","83,08","2,6","23,72"
15/2/2022,"22,93","29,7","19,7","83,75",7,"24,29"
16/2/2022,"23,19","30,7","18,9","83,33","23,2","24,67"
